,dest_node,source_node,weight,source_class,dest_class,edge_class
63,390,10,0.1,s,h,s-h
64,391,10,0.1,s,h,s-h
65,367,10,0.1,s,h,s-h
66,383,10,0.1,s,h,s-h
67,375,10,0.1,s,h,s-h
68,384,10,0.1,s,h,s-h
69,369,10,0.1,s,h,s-h
70,385,10,0.1,s,h,s-h
71,374,10,0.1,s,h,s-h
72,386,10,0.1,s,h,s-h
73,387,10,0.1,s,h,s-h
74,388,10,0.1,s,h,s-h
75,389,10,0.1,s,h,s-h
76,390,10,0.1,s,h,s-h
77,391,10,0.1,s,h,s-h
78,367,10,0.1,s,h,s-h
79,383,0,0.1,s,h,s-h
80,375,0,0.1,s,h,s-h
81,384,0,0.1,s,h,s-h
82,369,0,0.1,s,h,s-h
83,385,0,0.1,s,h,s-h
84,374,0,0.1,s,h,s-h
85,386,0,0.1,s,h,s-h
86,387,0,0.1,s,h,s-h
87,388,0,0.1,s,h,s-h
88,389,0,0.1,s,h,s-h
89,390,0,0.1,s,h,s-h
90,391,0,0.1,s,h,s-h
91,383,11,0.1,s,h,s-h
92,392,11,0.1,s,h,s-h
93,393,11,0.1,s,h,s-h
94,394,11,0.1,s,h,s-h
95,395,11,0.1,s,h,s-h
96,396,11,0.1,s,h,s-h
97,388,11,0.1,s,h,s-h
98,389,11,0.1,s,h,s-h
99,397,11,0.1,s,h,s-h
100,398,8,0.1,s,h,s-h
101,375,13,0.1,s,h,s-h
102,399,13,0.1,s,h,s-h
103,400,13,0.1,s,h,s-h
104,401,13,0.1,s,h,s-h
105,402,13,0.1,s,h,s-h
106,372,14,0.1,s,h,s-h
107,403,14,0.1,s,h,s-h
108,404,14,0.1,s,h,s-h
109,401,14,0.1,s,h,s-h
110,398,14,0.1,s,h,s-h
111,387,14,0.1,s,h,s-h
112,405,14,0.1,s,h,s-h
113,406,14,0.1,s,h,s-h
114,407,15,0.1,s,h,s-h
115,375,16,0.1,s,h,s-h
116,368,16,0.1,s,h,s-h
117,385,16,0.1,s,h,s-h
118,387,16,0.1,s,h,s-h
119,408,16,0.1,s,h,s-h
120,409,16,0.1,s,h,s-h
121,405,16,0.1,s,h,s-h
122,410,16,0.1,s,h,s-h
123,411,17,0.1,s,h,s-h
124,412,17,0.1,s,h,s-h
125,375,17,0.1,s,h,s-h
126,413,17,0.1,s,h,s-h
127,370,17,0.1,s,h,s-h
128,414,16,0.1,s,h,s-h
129,415,16,0.1,s,h,s-h
130,399,16,0.1,s,h,s-h
131,416,16,0.1,s,h,s-h
132,417,16,0.1,s,h,s-h
133,401,16,0.1,s,h,s-h
134,418,16,0.1,s,h,s-h
135,419,16,0.1,s,h,s-h
136,420,16,0.1,s,h,s-h
137,421,16,0.1,s,h,s-h
138,422,18,0.1,s,h,s-h
139,375,18,0.1,s,h,s-h
140,376,18,0.1,s,h,s-h
141,423,18,0.1,s,h,s-h
142,395,18,0.1,s,h,s-h
143,424,18,0.1,s,h,s-h
144,425,18,0.1,s,h,s-h
145,426,18,0.1,s,h,s-h
146,378,18,0.1,s,h,s-h
147,422,19,0.1,s,h,s-h
148,375,19,0.1,s,h,s-h
149,376,19,0.1,s,h,s-h
150,423,19,0.1,s,h,s-h
151,395,19,0.1,s,h,s-h
152,424,19,0.1,s,h,s-h
153,425,19,0.1,s,h,s-h
154,426,19,0.1,s,h,s-h
155,378,19,0.1,s,h,s-h
156,422,20,0.1,s,h,s-h
157,375,20,0.1,s,h,s-h
158,376,20,0.1,s,h,s-h
159,423,20,0.1,s,h,s-h
160,395,20,0.1,s,h,s-h
161,424,20,0.1,s,h,s-h
162,425,20,0.1,s,h,s-h
163,426,20,0.1,s,h,s-h
164,378,20,0.1,s,h,s-h
165,422,20,0.1,s,h,s-h
166,375,20,0.1,s,h,s-h
167,376,20,0.1,s,h,s-h
168,423,20,0.1,s,h,s-h
169,395,20,0.1,s,h,s-h
170,424,20,0.1,s,h,s-h
171,425,20,0.1,s,h,s-h
172,426,20,0.1,s,h,s-h
173,378,20,0.1,s,h,s-h
174,392,8,0.1,s,h,s-h
175,376,8,0.1,s,h,s-h
176,427,8,0.1,s,h,s-h
177,428,8,0.1,s,h,s-h
178,420,21,0.1,s,h,s-h
179,392,23,0.1,s,h,s-h
180,375,23,0.1,s,h,s-h
181,384,23,0.1,s,h,s-h
182,429,23,0.1,s,h,s-h
183,362,23,0.1,s,h,s-h
184,398,23,0.1,s,h,s-h
185,430,23,0.1,s,h,s-h
186,431,23,0.1,s,h,s-h
187,406,23,0.1,s,h,s-h
188,392,14,0.1,s,h,s-h
189,375,14,0.1,s,h,s-h
190,384,14,0.1,s,h,s-h
191,429,14,0.1,s,h,s-h
192,362,14,0.1,s,h,s-h
193,430,14,0.1,s,h,s-h
194,431,14,0.1,s,h,s-h
195,383,24,0.1,s,h,s-h
196,432,24,0.1,s,h,s-h
197,375,24,0.1,s,h,s-h
198,433,24,0.1,s,h,s-h
199,427,24,0.1,s,h,s-h
200,434,24,0.1,s,h,s-h
201,362,24,0.1,s,h,s-h
202,435,24,0.1,s,h,s-h
203,385,24,0.1,s,h,s-h
204,436,24,0.1,s,h,s-h
205,437,24,0.1,s,h,s-h
206,438,24,0.1,s,h,s-h
207,421,24,0.1,s,h,s-h
208,411,14,0.1,s,h,s-h
209,439,14,0.1,s,h,s-h
210,440,14,0.1,s,h,s-h
211,441,14,0.1,s,h,s-h
212,442,14,0.1,s,h,s-h
213,443,14,0.1,s,h,s-h
214,444,14,0.1,s,h,s-h
215,445,14,0.1,s,h,s-h
216,446,14,0.1,s,h,s-h
217,447,14,0.1,s,h,s-h
218,448,25,0.1,s,h,s-h
219,448,26,0.1,s,h,s-h
220,412,27,0.1,s,h,s-h
221,412,28,0.1,s,h,s-h
222,412,29,0.1,s,h,s-h
223,412,30,0.1,s,h,s-h
224,360,30,0.1,s,h,s-h
225,414,30,0.1,s,h,s-h
226,375,30,0.1,s,h,s-h
227,376,30,0.1,s,h,s-h
228,449,30,0.1,s,h,s-h
229,385,30,0.1,s,h,s-h
230,424,30,0.1,s,h,s-h
231,450,31,0.1,s,h,s-h
232,451,31,0.1,s,h,s-h
233,452,31,0.1,s,h,s-h
234,385,31,0.1,s,h,s-h
235,453,31,0.1,s,h,s-h
236,395,31,0.1,s,h,s-h
237,386,31,0.1,s,h,s-h
238,454,31,0.1,s,h,s-h
239,455,0,0.1,s,h,s-h
240,456,0,0.1,s,h,s-h
241,414,359,0.1,s,h,s-h
242,457,359,0.1,s,h,s-h
243,376,359,0.1,s,h,s-h
244,399,359,0.1,s,h,s-h
245,458,359,0.1,s,h,s-h
246,387,359,0.1,s,h,s-h
247,459,33,0.1,s,h,s-h
248,411,33,0.1,s,h,s-h
249,375,33,0.1,s,h,s-h
250,460,33,0.1,s,h,s-h
251,461,33,0.1,s,h,s-h
252,449,33,0.1,s,h,s-h
253,386,33,0.1,s,h,s-h
254,370,33,0.1,s,h,s-h
255,462,33,0.1,s,h,s-h
256,431,33,0.1,s,h,s-h
257,383,34,0.1,s,h,s-h
258,371,34,0.1,s,h,s-h
259,463,34,0.1,s,h,s-h
260,368,34,0.1,s,h,s-h
261,464,34,0.1,s,h,s-h
262,401,34,0.1,s,h,s-h
263,465,34,0.1,s,h,s-h
264,466,34,0.1,s,h,s-h
265,386,34,0.1,s,h,s-h
266,396,34,0.1,s,h,s-h
267,467,34,0.1,s,h,s-h
268,378,34,0.1,s,h,s-h
269,468,35,0.1,s,h,s-h
270,469,35,0.1,s,h,s-h
271,470,35,0.1,s,h,s-h
272,443,35,0.1,s,h,s-h
273,471,35,0.1,s,h,s-h
274,383,36,0.1,s,h,s-h
275,427,36,0.1,s,h,s-h
276,472,36,0.1,s,h,s-h
277,387,36,0.1,s,h,s-h
278,473,36,0.1,s,h,s-h
279,474,36,0.1,s,h,s-h
280,471,36,0.1,s,h,s-h
281,475,36,0.1,s,h,s-h
282,383,37,0.1,s,h,s-h
283,427,37,0.1,s,h,s-h
284,472,37,0.1,s,h,s-h
285,387,37,0.1,s,h,s-h
286,473,37,0.1,s,h,s-h
287,474,37,0.1,s,h,s-h
288,471,37,0.1,s,h,s-h
289,475,37,0.1,s,h,s-h
290,372,38,0.1,s,h,s-h
291,375,38,0.1,s,h,s-h
292,448,38,0.1,s,h,s-h
293,406,38,0.1,s,h,s-h
294,372,10,0.1,s,h,s-h
295,448,10,0.1,s,h,s-h
296,406,10,0.1,s,h,s-h
297,372,20,0.1,s,h,s-h
298,448,20,0.1,s,h,s-h
299,406,20,0.1,s,h,s-h
300,393,39,0.1,s,h,s-h
301,393,23,0.1,s,h,s-h
302,476,40,0.1,s,h,s-h
303,477,40,0.1,s,h,s-h
304,375,40,0.1,s,h,s-h
305,478,40,0.1,s,h,s-h
306,479,40,0.1,s,h,s-h
307,480,40,0.1,s,h,s-h
308,435,40,0.1,s,h,s-h
309,401,40,0.1,s,h,s-h
310,481,40,0.1,s,h,s-h
311,443,40,0.1,s,h,s-h
312,438,40,0.1,s,h,s-h
313,429,0,0.1,s,h,s-h
314,427,0,0.1,s,h,s-h
315,482,0,0.1,s,h,s-h
316,437,0,0.1,s,h,s-h
317,446,0,0.1,s,h,s-h
318,377,0,0.1,s,h,s-h
319,433,40,0.1,s,h,s-h
320,483,40,0.1,s,h,s-h
321,433,27,0.1,s,h,s-h
322,483,27,0.1,s,h,s-h
323,484,27,0.1,s,h,s-h
324,455,27,0.1,s,h,s-h
325,485,27,0.1,s,h,s-h
326,486,27,0.1,s,h,s-h
327,487,27,0.1,s,h,s-h
328,488,27,0.1,s,h,s-h
329,489,27,0.1,s,h,s-h
330,420,27,0.1,s,h,s-h
331,490,27,0.1,s,h,s-h
332,408,27,0.1,s,h,s-h
333,491,27,0.1,s,h,s-h
334,492,27,0.1,s,h,s-h
335,397,27,0.1,s,h,s-h
336,410,27,0.1,s,h,s-h
337,484,5,0.1,s,h,s-h
338,455,5,0.1,s,h,s-h
339,485,5,0.1,s,h,s-h
340,486,5,0.1,s,h,s-h
341,487,5,0.1,s,h,s-h
342,488,5,0.1,s,h,s-h
343,489,5,0.1,s,h,s-h
344,420,5,0.1,s,h,s-h
345,490,5,0.1,s,h,s-h
346,408,5,0.1,s,h,s-h
347,491,5,0.1,s,h,s-h
348,492,5,0.1,s,h,s-h
349,397,5,0.1,s,h,s-h
350,410,5,0.1,s,h,s-h
351,484,19,0.1,s,h,s-h
352,455,19,0.1,s,h,s-h
353,485,19,0.1,s,h,s-h
354,486,19,0.1,s,h,s-h
355,487,19,0.1,s,h,s-h
356,488,19,0.1,s,h,s-h
357,489,19,0.1,s,h,s-h
358,420,19,0.1,s,h,s-h
359,490,19,0.1,s,h,s-h
360,408,19,0.1,s,h,s-h
361,491,19,0.1,s,h,s-h
362,492,19,0.1,s,h,s-h
363,397,19,0.1,s,h,s-h
364,410,19,0.1,s,h,s-h
365,484,20,0.1,s,h,s-h
366,455,20,0.1,s,h,s-h
367,485,20,0.1,s,h,s-h
368,486,20,0.1,s,h,s-h
369,487,20,0.1,s,h,s-h
370,488,20,0.1,s,h,s-h
371,489,20,0.1,s,h,s-h
372,420,20,0.1,s,h,s-h
373,490,20,0.1,s,h,s-h
374,408,20,0.1,s,h,s-h
375,491,20,0.1,s,h,s-h
376,492,20,0.1,s,h,s-h
377,397,20,0.1,s,h,s-h
378,410,20,0.1,s,h,s-h
379,383,41,0.1,s,h,s-h
380,387,41,0.1,s,h,s-h
381,493,41,0.1,s,h,s-h
382,436,41,0.1,s,h,s-h
383,494,41,0.1,s,h,s-h
384,495,41,0.1,s,h,s-h
385,371,43,0.1,s,h,s-h
386,384,43,0.1,s,h,s-h
387,369,43,0.1,s,h,s-h
388,478,43,0.1,s,h,s-h
389,451,43,0.1,s,h,s-h
390,496,43,0.1,s,h,s-h
391,401,43,0.1,s,h,s-h
392,497,43,0.1,s,h,s-h
393,498,43,0.1,s,h,s-h
394,499,43,0.1,s,h,s-h
395,426,43,0.1,s,h,s-h
396,378,43,0.1,s,h,s-h
397,371,44,0.1,s,h,s-h
398,384,44,0.1,s,h,s-h
399,369,44,0.1,s,h,s-h
400,478,44,0.1,s,h,s-h
401,451,44,0.1,s,h,s-h
402,496,44,0.1,s,h,s-h
403,401,44,0.1,s,h,s-h
404,497,44,0.1,s,h,s-h
405,498,44,0.1,s,h,s-h
406,499,44,0.1,s,h,s-h
407,426,44,0.1,s,h,s-h
408,378,44,0.1,s,h,s-h
409,371,20,0.1,s,h,s-h
410,384,20,0.1,s,h,s-h
411,369,20,0.1,s,h,s-h
412,478,20,0.1,s,h,s-h
413,451,20,0.1,s,h,s-h
414,496,20,0.1,s,h,s-h
415,401,20,0.1,s,h,s-h
416,497,20,0.1,s,h,s-h
417,498,20,0.1,s,h,s-h
418,499,20,0.1,s,h,s-h
419,360,45,0.1,s,h,s-h
420,463,45,0.1,s,h,s-h
421,414,45,0.1,s,h,s-h
422,375,45,0.1,s,h,s-h
423,368,45,0.1,s,h,s-h
424,427,45,0.1,s,h,s-h
425,440,45,0.1,s,h,s-h
426,362,45,0.1,s,h,s-h
427,363,45,0.1,s,h,s-h
428,364,45,0.1,s,h,s-h
429,398,45,0.1,s,h,s-h
430,365,45,0.1,s,h,s-h
431,366,45,0.1,s,h,s-h
432,360,16,0.1,s,h,s-h
433,463,16,0.1,s,h,s-h
434,427,16,0.1,s,h,s-h
435,440,16,0.1,s,h,s-h
436,362,16,0.1,s,h,s-h
437,363,16,0.1,s,h,s-h
438,364,16,0.1,s,h,s-h
439,398,16,0.1,s,h,s-h
440,365,16,0.1,s,h,s-h
441,366,16,0.1,s,h,s-h
442,500,46,0.1,s,h,s-h
443,487,46,0.1,s,h,s-h
444,448,46,0.1,s,h,s-h
445,420,46,0.1,s,h,s-h
446,501,23,0.1,s,h,s-h
447,414,23,0.1,s,h,s-h
448,502,23,0.1,s,h,s-h
449,503,23,0.1,s,h,s-h
450,419,23,0.1,s,h,s-h
451,377,23,0.1,s,h,s-h
452,421,23,0.1,s,h,s-h
453,504,0,0.1,s,h,s-h
454,433,0,0.1,s,h,s-h
455,505,0,0.1,s,h,s-h
456,506,40,0.1,s,h,s-h
457,375,47,0.1,s,h,s-h
458,460,47,0.1,s,h,s-h
459,384,47,0.1,s,h,s-h
460,440,47,0.1,s,h,s-h
461,507,47,0.1,s,h,s-h
462,388,47,0.1,s,h,s-h
463,390,47,0.1,s,h,s-h
464,462,47,0.1,s,h,s-h
465,397,47,0.1,s,h,s-h
466,375,6,0.1,s,h,s-h
467,460,6,0.1,s,h,s-h
468,384,6,0.1,s,h,s-h
469,440,6,0.1,s,h,s-h
470,507,6,0.1,s,h,s-h
471,388,6,0.1,s,h,s-h
472,390,6,0.1,s,h,s-h
473,462,6,0.1,s,h,s-h
474,397,6,0.1,s,h,s-h
475,384,33,0.1,s,h,s-h
476,440,33,0.1,s,h,s-h
477,507,33,0.1,s,h,s-h
478,388,33,0.1,s,h,s-h
479,390,33,0.1,s,h,s-h
480,397,33,0.1,s,h,s-h
481,460,0,0.1,s,h,s-h
482,440,0,0.1,s,h,s-h
483,507,0,0.1,s,h,s-h
484,462,0,0.1,s,h,s-h
485,397,0,0.1,s,h,s-h
486,376,6,0.1,s,h,s-h
487,375,15,0.1,s,h,s-h
488,376,15,0.1,s,h,s-h
489,508,359,0.1,s,h,s-h
490,509,359,0.1,s,h,s-h
491,510,359,0.1,s,h,s-h
492,360,48,0.1,s,h,s-h
493,511,48,0.1,s,h,s-h
494,375,48,0.1,s,h,s-h
495,461,48,0.1,s,h,s-h
496,512,48,0.1,s,h,s-h
497,362,48,0.1,s,h,s-h
498,513,48,0.1,s,h,s-h
499,514,48,0.1,s,h,s-h
500,365,48,0.1,s,h,s-h
501,366,48,0.1,s,h,s-h
502,515,48,0.1,s,h,s-h
503,406,48,0.1,s,h,s-h
504,383,49,0.1,s,h,s-h
505,465,49,0.1,s,h,s-h
506,419,49,0.1,s,h,s-h
507,386,49,0.1,s,h,s-h
508,387,49,0.1,s,h,s-h
509,506,49,0.1,s,h,s-h
510,378,49,0.1,s,h,s-h
511,375,50,0.1,s,h,s-h
512,516,50,0.1,s,h,s-h
513,376,50,0.1,s,h,s-h
514,427,50,0.1,s,h,s-h
515,401,50,0.1,s,h,s-h
516,390,50,0.1,s,h,s-h
517,504,50,0.1,s,h,s-h
518,456,50,0.1,s,h,s-h
519,420,50,0.1,s,h,s-h
520,491,50,0.1,s,h,s-h
521,504,0,0.1,s,h,s-h
522,420,0,0.1,s,h,s-h
523,491,0,0.1,s,h,s-h
524,517,0,0.1,s,h,s-h
525,487,51,0.1,s,h,s-h
526,420,51,0.1,s,h,s-h
527,518,51,0.1,s,h,s-h
528,375,36,0.1,s,h,s-h
529,486,36,0.1,s,h,s-h
530,519,36,0.1,s,h,s-h
531,418,36,0.1,s,h,s-h
532,520,36,0.1,s,h,s-h
533,437,36,0.1,s,h,s-h
534,420,36,0.1,s,h,s-h
535,408,36,0.1,s,h,s-h
536,491,36,0.1,s,h,s-h
537,377,36,0.1,s,h,s-h
538,375,50,0.1,s,h,s-h
539,486,50,0.1,s,h,s-h
540,519,50,0.1,s,h,s-h
541,418,50,0.1,s,h,s-h
542,520,50,0.1,s,h,s-h
543,387,50,0.1,s,h,s-h
544,437,50,0.1,s,h,s-h
545,408,50,0.1,s,h,s-h
546,377,50,0.1,s,h,s-h
547,375,53,0.1,s,h,s-h
548,486,53,0.1,s,h,s-h
549,519,53,0.1,s,h,s-h
550,418,53,0.1,s,h,s-h
551,520,53,0.1,s,h,s-h
552,387,53,0.1,s,h,s-h
553,437,53,0.1,s,h,s-h
554,420,53,0.1,s,h,s-h
555,408,53,0.1,s,h,s-h
556,491,53,0.1,s,h,s-h
557,377,53,0.1,s,h,s-h
558,521,14,0.1,s,h,s-h
559,522,14,0.1,s,h,s-h
560,479,14,0.1,s,h,s-h
561,523,14,0.1,s,h,s-h
562,376,14,0.1,s,h,s-h
563,449,14,0.1,s,h,s-h
564,480,14,0.1,s,h,s-h
565,435,14,0.1,s,h,s-h
566,437,14,0.1,s,h,s-h
567,420,14,0.1,s,h,s-h
568,438,14,0.1,s,h,s-h
569,377,14,0.1,s,h,s-h
570,524,14,0.1,s,h,s-h
571,521,4,0.1,s,h,s-h
572,522,4,0.1,s,h,s-h
573,479,4,0.1,s,h,s-h
574,523,4,0.1,s,h,s-h
575,376,4,0.1,s,h,s-h
576,449,4,0.1,s,h,s-h
577,441,4,0.1,s,h,s-h
578,480,4,0.1,s,h,s-h
579,435,4,0.1,s,h,s-h
580,401,4,0.1,s,h,s-h
581,437,4,0.1,s,h,s-h
582,420,4,0.1,s,h,s-h
583,438,4,0.1,s,h,s-h
584,377,4,0.1,s,h,s-h
585,524,4,0.1,s,h,s-h
586,392,54,0.1,s,h,s-h
587,476,54,0.1,s,h,s-h
588,384,54,0.1,s,h,s-h
589,369,54,0.1,s,h,s-h
590,496,54,0.1,s,h,s-h
591,417,54,0.1,s,h,s-h
592,428,54,0.1,s,h,s-h
593,401,54,0.1,s,h,s-h
594,387,54,0.1,s,h,s-h
595,405,54,0.1,s,h,s-h
596,378,54,0.1,s,h,s-h
597,392,55,0.1,s,h,s-h
598,476,55,0.1,s,h,s-h
599,384,55,0.1,s,h,s-h
600,369,55,0.1,s,h,s-h
601,496,55,0.1,s,h,s-h
602,417,55,0.1,s,h,s-h
603,428,55,0.1,s,h,s-h
604,401,55,0.1,s,h,s-h
605,387,55,0.1,s,h,s-h
606,405,55,0.1,s,h,s-h
607,378,55,0.1,s,h,s-h
608,476,56,0.1,s,h,s-h
609,525,56,0.1,s,h,s-h
610,455,56,0.1,s,h,s-h
611,456,56,0.1,s,h,s-h
612,387,56,0.1,s,h,s-h
613,443,56,0.1,s,h,s-h
614,445,56,0.1,s,h,s-h
615,476,14,0.1,s,h,s-h
616,525,14,0.1,s,h,s-h
617,455,14,0.1,s,h,s-h
618,456,14,0.1,s,h,s-h
619,476,0,0.1,s,h,s-h
620,525,0,0.1,s,h,s-h
621,443,0,0.1,s,h,s-h
622,445,0,0.1,s,h,s-h
623,383,359,0.1,s,h,s-h
624,526,359,0.1,s,h,s-h
625,406,359,0.1,s,h,s-h
626,384,57,0.1,s,h,s-h
627,444,57,0.1,s,h,s-h
628,445,57,0.1,s,h,s-h
629,429,58,0.1,s,h,s-h
630,399,0,0.1,s,h,s-h
631,400,0,0.1,s,h,s-h
632,408,0,0.1,s,h,s-h
633,360,11,0.1,s,h,s-h
634,527,11,0.1,s,h,s-h
635,433,11,0.1,s,h,s-h
636,528,11,0.1,s,h,s-h
637,529,11,0.1,s,h,s-h
638,376,11,0.1,s,h,s-h
639,530,11,0.1,s,h,s-h
640,399,11,0.1,s,h,s-h
641,531,11,0.1,s,h,s-h
642,400,11,0.1,s,h,s-h
643,532,11,0.1,s,h,s-h
644,533,11,0.1,s,h,s-h
645,513,11,0.1,s,h,s-h
646,534,11,0.1,s,h,s-h
647,535,11,0.1,s,h,s-h
648,420,11,0.1,s,h,s-h
649,490,11,0.1,s,h,s-h
650,536,11,0.1,s,h,s-h
651,537,40,0.1,s,h,s-h
652,383,40,0.1,s,h,s-h
653,407,40,0.1,s,h,s-h
654,404,40,0.1,s,h,s-h
655,480,40,0.1,s,h,s-h
656,385,40,0.1,s,h,s-h
657,419,40,0.1,s,h,s-h
658,389,40,0.1,s,h,s-h
659,408,40,0.1,s,h,s-h
660,409,40,0.1,s,h,s-h
661,537,58,0.1,s,h,s-h
662,383,58,0.1,s,h,s-h
663,407,58,0.1,s,h,s-h
664,404,58,0.1,s,h,s-h
665,480,58,0.1,s,h,s-h
666,385,58,0.1,s,h,s-h
667,419,58,0.1,s,h,s-h
668,389,58,0.1,s,h,s-h
669,408,58,0.1,s,h,s-h
670,409,58,0.1,s,h,s-h
671,537,14,0.1,s,h,s-h
672,383,14,0.1,s,h,s-h
673,407,14,0.1,s,h,s-h
674,385,14,0.1,s,h,s-h
675,419,14,0.1,s,h,s-h
676,389,14,0.1,s,h,s-h
677,408,14,0.1,s,h,s-h
678,409,14,0.1,s,h,s-h
679,537,359,0.1,s,h,s-h
680,407,359,0.1,s,h,s-h
681,404,359,0.1,s,h,s-h
682,480,359,0.1,s,h,s-h
683,385,359,0.1,s,h,s-h
684,419,359,0.1,s,h,s-h
685,389,359,0.1,s,h,s-h
686,408,359,0.1,s,h,s-h
687,409,359,0.1,s,h,s-h
688,538,8,0.1,s,h,s-h
689,509,51,0.1,s,h,s-h
690,469,51,0.1,s,h,s-h
691,376,51,0.1,s,h,s-h
692,451,51,0.1,s,h,s-h
693,458,51,0.1,s,h,s-h
694,387,51,0.1,s,h,s-h
695,436,16,0.1,s,h,s-h
696,539,16,0.1,s,h,s-h
697,540,5,0.1,s,h,s-h
698,392,5,0.1,s,h,s-h
699,461,5,0.1,s,h,s-h
700,541,5,0.1,s,h,s-h
701,438,5,0.1,s,h,s-h
702,376,58,0.1,s,h,s-h
703,427,58,0.1,s,h,s-h
704,448,58,0.1,s,h,s-h
705,436,58,0.1,s,h,s-h
706,469,9,0.1,s,h,s-h
707,466,9,0.1,s,h,s-h
708,542,9,0.1,s,h,s-h
709,443,9,0.1,s,h,s-h
710,469,41,0.1,s,h,s-h
711,466,41,0.1,s,h,s-h
712,542,41,0.1,s,h,s-h
713,443,41,0.1,s,h,s-h
714,543,41,0.1,s,h,s-h
715,480,41,0.1,s,h,s-h
716,389,41,0.1,s,h,s-h
717,473,41,0.1,s,h,s-h
718,474,41,0.1,s,h,s-h
719,438,41,0.1,s,h,s-h
720,475,41,0.1,s,h,s-h
721,469,34,0.1,s,h,s-h
722,544,34,0.1,s,h,s-h
723,545,34,0.1,s,h,s-h
724,459,49,0.1,s,h,s-h
725,546,49,0.1,s,h,s-h
726,503,49,0.1,s,h,s-h
727,547,49,0.1,s,h,s-h
728,388,49,0.1,s,h,s-h
729,468,5,0.1,s,h,s-h
730,433,5,0.1,s,h,s-h
731,375,359,0.1,s,h,s-h
732,368,359,0.1,s,h,s-h
733,386,359,0.1,s,h,s-h
734,405,359,0.1,s,h,s-h
735,435,59,0.1,s,h,s-h
736,548,59,0.1,s,h,s-h
737,476,60,0.1,s,h,s-h
738,375,60,0.1,s,h,s-h
739,413,60,0.1,s,h,s-h
740,549,60,0.1,s,h,s-h
741,428,60,0.1,s,h,s-h
742,398,60,0.1,s,h,s-h
743,476,28,0.1,s,h,s-h
744,375,28,0.1,s,h,s-h
745,413,28,0.1,s,h,s-h
746,549,28,0.1,s,h,s-h
747,428,28,0.1,s,h,s-h
748,398,28,0.1,s,h,s-h
749,540,15,0.1,s,h,s-h
750,550,15,0.1,s,h,s-h
751,463,15,0.1,s,h,s-h
752,414,15,0.1,s,h,s-h
753,522,15,0.1,s,h,s-h
754,460,15,0.1,s,h,s-h
755,368,15,0.1,s,h,s-h
756,369,15,0.1,s,h,s-h
757,450,15,0.1,s,h,s-h
758,427,15,0.1,s,h,s-h
759,400,15,0.1,s,h,s-h
760,480,15,0.1,s,h,s-h
761,393,15,0.1,s,h,s-h
762,551,15,0.1,s,h,s-h
763,546,15,0.1,s,h,s-h
764,533,15,0.1,s,h,s-h
765,552,15,0.1,s,h,s-h
766,553,15,0.1,s,h,s-h
767,554,15,0.1,s,h,s-h
768,555,15,0.1,s,h,s-h
769,489,15,0.1,s,h,s-h
770,541,15,0.1,s,h,s-h
771,454,15,0.1,s,h,s-h
772,462,15,0.1,s,h,s-h
773,397,15,0.1,s,h,s-h
