#source_node	source_class	dest_node	dest_class	edge_class
34	s	386	h	s-h
34	s	396	h	s-h
34	s	467	h	s-h
34	s	378	h	s-h
35	s	468	h	s-h
35	s	469	h	s-h
35	s	470	h	s-h
35	s	443	h	s-h
35	s	471	h	s-h
36	s	383	h	s-h
36	s	427	h	s-h
36	s	472	h	s-h
36	s	387	h	s-h
36	s	473	h	s-h
36	s	474	h	s-h
36	s	471	h	s-h
36	s	475	h	s-h
37	s	383	h	s-h
37	s	427	h	s-h
37	s	472	h	s-h
37	s	387	h	s-h
37	s	473	h	s-h
37	s	474	h	s-h
37	s	471	h	s-h
37	s	475	h	s-h
38	s	372	h	s-h
38	s	375	h	s-h
38	s	448	h	s-h
38	s	406	h	s-h
10	s	372	h	s-h
10	s	448	h	s-h
10	s	406	h	s-h
20	s	372	h	s-h
20	s	448	h	s-h
20	s	406	h	s-h
39	s	393	h	s-h
23	s	393	h	s-h
40	s	476	h	s-h
40	s	477	h	s-h
40	s	375	h	s-h
40	s	478	h	s-h
40	s	479	h	s-h
40	s	480	h	s-h
40	s	435	h	s-h
40	s	401	h	s-h
40	s	481	h	s-h
40	s	443	h	s-h
40	s	438	h	s-h
0	s	429	h	s-h
0	s	427	h	s-h
0	s	482	h	s-h
0	s	437	h	s-h
0	s	446	h	s-h
0	s	377	h	s-h
40	s	433	h	s-h
40	s	483	h	s-h
27	s	433	h	s-h
27	s	483	h	s-h
27	s	484	h	s-h
27	s	455	h	s-h
27	s	485	h	s-h
27	s	486	h	s-h
27	s	487	h	s-h
27	s	488	h	s-h
27	s	489	h	s-h
27	s	420	h	s-h
27	s	490	h	s-h
27	s	408	h	s-h
27	s	491	h	s-h
27	s	492	h	s-h
27	s	397	h	s-h
27	s	410	h	s-h
5	s	484	h	s-h
5	s	455	h	s-h
5	s	485	h	s-h
5	s	486	h	s-h
5	s	487	h	s-h
5	s	488	h	s-h
5	s	489	h	s-h
5	s	420	h	s-h
5	s	490	h	s-h
5	s	408	h	s-h
5	s	491	h	s-h
5	s	492	h	s-h
5	s	397	h	s-h
5	s	410	h	s-h
19	s	484	h	s-h
19	s	455	h	s-h
19	s	485	h	s-h
19	s	486	h	s-h
19	s	487	h	s-h
19	s	488	h	s-h
19	s	489	h	s-h
19	s	420	h	s-h
19	s	490	h	s-h
19	s	408	h	s-h
19	s	491	h	s-h
19	s	492	h	s-h
19	s	397	h	s-h
19	s	410	h	s-h
20	s	484	h	s-h
20	s	455	h	s-h
20	s	485	h	s-h
20	s	486	h	s-h
20	s	487	h	s-h
20	s	488	h	s-h
20	s	489	h	s-h
20	s	420	h	s-h
20	s	490	h	s-h
20	s	408	h	s-h
20	s	491	h	s-h
20	s	492	h	s-h
20	s	397	h	s-h
20	s	410	h	s-h
41	s	383	h	s-h
41	s	387	h	s-h
41	s	493	h	s-h
41	s	436	h	s-h
41	s	494	h	s-h
41	s	495	h	s-h
43	s	371	h	s-h
43	s	384	h	s-h
43	s	369	h	s-h
43	s	478	h	s-h
43	s	451	h	s-h
43	s	496	h	s-h
43	s	401	h	s-h
43	s	497	h	s-h
43	s	498	h	s-h
43	s	499	h	s-h
43	s	426	h	s-h
43	s	378	h	s-h
44	s	371	h	s-h
44	s	384	h	s-h
44	s	369	h	s-h
44	s	478	h	s-h
44	s	451	h	s-h
44	s	496	h	s-h
44	s	401	h	s-h
44	s	497	h	s-h
44	s	498	h	s-h
44	s	499	h	s-h
44	s	426	h	s-h
44	s	378	h	s-h
20	s	371	h	s-h
20	s	384	h	s-h
20	s	369	h	s-h
20	s	478	h	s-h
20	s	451	h	s-h
20	s	496	h	s-h
20	s	401	h	s-h
20	s	497	h	s-h
20	s	498	h	s-h
20	s	499	h	s-h
45	s	360	h	s-h
45	s	463	h	s-h
45	s	414	h	s-h
45	s	375	h	s-h
45	s	368	h	s-h
45	s	427	h	s-h
45	s	440	h	s-h
45	s	362	h	s-h
45	s	363	h	s-h
45	s	364	h	s-h
45	s	398	h	s-h
45	s	365	h	s-h
45	s	366	h	s-h
16	s	360	h	s-h
16	s	463	h	s-h
16	s	427	h	s-h
16	s	440	h	s-h
16	s	362	h	s-h
16	s	363	h	s-h
16	s	364	h	s-h
16	s	398	h	s-h
16	s	365	h	s-h
16	s	366	h	s-h
46	s	500	h	s-h
46	s	487	h	s-h
46	s	448	h	s-h
46	s	420	h	s-h
23	s	501	h	s-h
23	s	414	h	s-h
23	s	502	h	s-h
23	s	503	h	s-h
23	s	419	h	s-h
23	s	377	h	s-h
23	s	421	h	s-h
0	s	504	h	s-h
0	s	433	h	s-h
0	s	505	h	s-h
40	s	506	h	s-h
47	s	375	h	s-h
47	s	460	h	s-h
47	s	384	h	s-h
47	s	440	h	s-h
47	s	507	h	s-h
47	s	388	h	s-h
47	s	390	h	s-h
47	s	462	h	s-h
47	s	397	h	s-h
6	s	375	h	s-h
6	s	460	h	s-h
6	s	384	h	s-h
6	s	440	h	s-h
6	s	507	h	s-h
6	s	388	h	s-h
6	s	390	h	s-h
6	s	462	h	s-h
6	s	397	h	s-h
33	s	384	h	s-h
33	s	440	h	s-h
33	s	507	h	s-h
33	s	388	h	s-h
33	s	390	h	s-h
33	s	397	h	s-h
0	s	460	h	s-h
0	s	440	h	s-h
0	s	507	h	s-h
0	s	462	h	s-h
0	s	397	h	s-h
6	s	376	h	s-h
15	s	375	h	s-h
15	s	376	h	s-h
359	s	508	h	s-h
359	s	509	h	s-h
359	s	510	h	s-h
48	s	360	h	s-h
48	s	511	h	s-h
48	s	375	h	s-h
48	s	461	h	s-h
48	s	512	h	s-h
48	s	362	h	s-h
48	s	513	h	s-h
48	s	514	h	s-h
48	s	365	h	s-h
48	s	366	h	s-h
48	s	515	h	s-h
48	s	406	h	s-h
49	s	383	h	s-h
49	s	465	h	s-h
49	s	419	h	s-h
49	s	386	h	s-h
49	s	387	h	s-h
49	s	506	h	s-h
49	s	378	h	s-h
50	s	375	h	s-h
50	s	516	h	s-h
50	s	376	h	s-h
50	s	427	h	s-h
50	s	401	h	s-h
50	s	390	h	s-h
50	s	504	h	s-h
50	s	456	h	s-h
50	s	420	h	s-h
50	s	491	h	s-h
0	s	504	h	s-h
0	s	420	h	s-h
0	s	491	h	s-h
0	s	517	h	s-h
51	s	487	h	s-h
51	s	420	h	s-h
51	s	518	h	s-h
36	s	375	h	s-h
36	s	486	h	s-h
36	s	519	h	s-h
36	s	418	h	s-h
36	s	520	h	s-h
36	s	437	h	s-h
36	s	420	h	s-h
36	s	408	h	s-h
36	s	491	h	s-h
36	s	377	h	s-h
50	s	375	h	s-h
50	s	486	h	s-h
50	s	519	h	s-h
50	s	418	h	s-h
50	s	520	h	s-h
50	s	387	h	s-h
50	s	437	h	s-h
50	s	408	h	s-h
50	s	377	h	s-h
53	s	375	h	s-h
53	s	486	h	s-h
53	s	519	h	s-h
53	s	418	h	s-h
53	s	520	h	s-h
53	s	387	h	s-h
53	s	437	h	s-h
53	s	420	h	s-h
53	s	408	h	s-h
53	s	491	h	s-h
53	s	377	h	s-h
14	s	521	h	s-h
14	s	522	h	s-h
14	s	479	h	s-h
14	s	523	h	s-h
14	s	376	h	s-h
14	s	449	h	s-h
14	s	480	h	s-h
14	s	435	h	s-h
14	s	437	h	s-h
14	s	420	h	s-h
14	s	438	h	s-h
14	s	377	h	s-h
14	s	524	h	s-h
4	s	521	h	s-h
4	s	522	h	s-h
4	s	479	h	s-h
4	s	523	h	s-h
4	s	376	h	s-h
4	s	449	h	s-h
4	s	441	h	s-h
4	s	480	h	s-h
4	s	435	h	s-h
4	s	401	h	s-h
4	s	437	h	s-h
4	s	420	h	s-h
4	s	438	h	s-h
4	s	377	h	s-h
4	s	524	h	s-h
54	s	392	h	s-h
54	s	476	h	s-h
54	s	384	h	s-h
54	s	369	h	s-h
54	s	496	h	s-h
54	s	417	h	s-h
54	s	428	h	s-h
54	s	401	h	s-h
54	s	387	h	s-h
54	s	405	h	s-h
54	s	378	h	s-h
55	s	392	h	s-h
55	s	476	h	s-h
55	s	384	h	s-h
55	s	369	h	s-h
55	s	496	h	s-h
55	s	417	h	s-h
55	s	428	h	s-h
55	s	401	h	s-h
55	s	387	h	s-h
55	s	405	h	s-h
55	s	378	h	s-h
56	s	476	h	s-h
56	s	525	h	s-h
56	s	455	h	s-h
56	s	456	h	s-h
56	s	387	h	s-h
56	s	443	h	s-h
56	s	445	h	s-h
14	s	476	h	s-h
14	s	525	h	s-h
14	s	455	h	s-h
14	s	456	h	s-h
0	s	476	h	s-h
0	s	525	h	s-h
0	s	443	h	s-h
0	s	445	h	s-h
359	s	383	h	s-h
359	s	526	h	s-h
359	s	406	h	s-h
57	s	384	h	s-h
57	s	444	h	s-h
57	s	445	h	s-h
58	s	429	h	s-h
0	s	399	h	s-h
0	s	400	h	s-h
0	s	408	h	s-h
11	s	360	h	s-h
11	s	527	h	s-h
11	s	433	h	s-h
11	s	528	h	s-h
11	s	529	h	s-h
11	s	376	h	s-h
11	s	530	h	s-h
11	s	399	h	s-h
11	s	531	h	s-h
11	s	400	h	s-h
11	s	532	h	s-h
11	s	533	h	s-h
11	s	513	h	s-h
11	s	534	h	s-h
11	s	535	h	s-h
11	s	420	h	s-h
11	s	490	h	s-h
11	s	536	h	s-h
40	s	537	h	s-h
40	s	383	h	s-h
40	s	407	h	s-h
40	s	404	h	s-h
40	s	480	h	s-h
40	s	385	h	s-h
40	s	419	h	s-h
40	s	389	h	s-h
40	s	408	h	s-h
40	s	409	h	s-h
58	s	537	h	s-h
58	s	383	h	s-h
58	s	407	h	s-h
58	s	404	h	s-h
58	s	480	h	s-h
58	s	385	h	s-h
58	s	419	h	s-h
58	s	389	h	s-h
58	s	408	h	s-h
58	s	409	h	s-h
14	s	537	h	s-h
14	s	383	h	s-h
14	s	407	h	s-h
14	s	385	h	s-h
14	s	419	h	s-h
14	s	389	h	s-h
14	s	408	h	s-h
14	s	409	h	s-h
359	s	537	h	s-h
359	s	407	h	s-h
359	s	404	h	s-h
359	s	480	h	s-h
359	s	385	h	s-h
359	s	419	h	s-h
359	s	389	h	s-h
359	s	408	h	s-h
359	s	409	h	s-h
8	s	538	h	s-h
51	s	509	h	s-h
51	s	469	h	s-h
51	s	376	h	s-h
51	s	451	h	s-h
51	s	458	h	s-h
51	s	387	h	s-h
16	s	436	h	s-h
16	s	539	h	s-h
5	s	540	h	s-h
5	s	392	h	s-h
5	s	461	h	s-h
5	s	541	h	s-h
5	s	438	h	s-h
58	s	376	h	s-h
58	s	427	h	s-h
58	s	448	h	s-h
58	s	436	h	s-h
9	s	469	h	s-h
9	s	466	h	s-h
9	s	542	h	s-h
9	s	443	h	s-h
41	s	469	h	s-h
41	s	466	h	s-h
41	s	542	h	s-h
41	s	443	h	s-h
41	s	543	h	s-h
41	s	480	h	s-h
41	s	389	h	s-h
41	s	473	h	s-h
41	s	474	h	s-h
41	s	438	h	s-h
41	s	475	h	s-h
34	s	469	h	s-h
34	s	544	h	s-h
34	s	545	h	s-h
49	s	459	h	s-h
49	s	546	h	s-h
49	s	503	h	s-h
49	s	547	h	s-h
49	s	388	h	s-h
5	s	468	h	s-h
5	s	433	h	s-h
359	s	375	h	s-h
359	s	368	h	s-h
359	s	386	h	s-h
359	s	405	h	s-h
59	s	435	h	s-h
59	s	548	h	s-h
60	s	476	h	s-h
60	s	375	h	s-h
60	s	413	h	s-h
60	s	549	h	s-h
60	s	428	h	s-h
60	s	398	h	s-h
28	s	476	h	s-h
28	s	375	h	s-h
28	s	413	h	s-h
28	s	549	h	s-h
28	s	428	h	s-h
28	s	398	h	s-h
15	s	540	h	s-h
15	s	550	h	s-h
15	s	463	h	s-h
15	s	414	h	s-h
15	s	522	h	s-h
15	s	460	h	s-h
15	s	368	h	s-h
15	s	369	h	s-h
15	s	450	h	s-h
15	s	427	h	s-h
15	s	400	h	s-h
15	s	480	h	s-h
15	s	393	h	s-h
15	s	551	h	s-h
15	s	546	h	s-h
15	s	533	h	s-h
15	s	552	h	s-h
15	s	553	h	s-h
15	s	554	h	s-h
15	s	555	h	s-h
15	s	489	h	s-h
15	s	541	h	s-h
15	s	454	h	s-h
15	s	462	h	s-h
15	s	397	h	s-h
15	s	377	h	s-h
15	s	447	h	s-h
60	s	540	h	s-h
60	s	550	h	s-h
60	s	463	h	s-h
60	s	414	h	s-h
60	s	522	h	s-h
60	s	460	h	s-h
60	s	368	h	s-h
60	s	369	h	s-h
60	s	450	h	s-h
60	s	376	h	s-h
60	s	427	h	s-h
60	s	400	h	s-h
60	s	480	h	s-h
60	s	393	h	s-h
60	s	551	h	s-h
60	s	546	h	s-h
60	s	533	h	s-h
60	s	552	h	s-h
60	s	553	h	s-h
60	s	554	h	s-h
60	s	555	h	s-h
60	s	489	h	s-h
60	s	541	h	s-h
60	s	454	h	s-h
60	s	462	h	s-h
60	s	397	h	s-h
60	s	377	h	s-h
60	s	447	h	s-h
359	s	540	h	s-h
359	s	550	h	s-h
359	s	463	h	s-h
359	s	522	h	s-h
359	s	460	h	s-h
359	s	369	h	s-h
359	s	450	h	s-h
359	s	427	h	s-h
359	s	400	h	s-h
359	s	393	h	s-h
359	s	551	h	s-h
359	s	546	h	s-h
359	s	533	h	s-h
359	s	552	h	s-h
359	s	553	h	s-h
359	s	554	h	s-h
359	s	555	h	s-h
359	s	489	h	s-h
359	s	541	h	s-h
359	s	454	h	s-h
359	s	462	h	s-h
359	s	397	h	s-h
359	s	377	h	s-h
359	s	447	h	s-h
0	s	540	h	s-h
0	s	550	h	s-h
0	s	463	h	s-h
0	s	414	h	s-h
0	s	522	h	s-h
0	s	368	h	s-h
0	s	450	h	s-h
0	s	376	h	s-h
0	s	480	h	s-h
0	s	393	h	s-h
0	s	551	h	s-h
0	s	546	h	s-h
0	s	533	h	s-h
0	s	552	h	s-h
0	s	553	h	s-h
0	s	554	h	s-h
0	s	555	h	s-h
0	s	489	h	s-h
0	s	541	h	s-h
0	s	454	h	s-h
0	s	447	h	s-h
61	s	540	h	s-h
61	s	427	h	s-h
61	s	541	h	s-h
61	s	370	h	s-h
61	s	409	h	s-h
63	s	540	h	s-h
63	s	427	h	s-h
63	s	541	h	s-h
63	s	370	h	s-h
63	s	409	h	s-h
50	s	540	h	s-h
50	s	541	h	s-h
50	s	370	h	s-h
50	s	409	h	s-h
21	s	525	h	s-h
21	s	376	h	s-h
21	s	449	h	s-h
21	s	393	h	s-h
21	s	513	h	s-h
21	s	443	h	s-h
64	s	375	h	s-h
64	s	368	h	s-h
64	s	556	h	s-h
64	s	435	h	s-h
64	s	401	h	s-h
64	s	419	h	s-h
64	s	420	h	s-h
64	s	490	h	s-h
64	s	410	h	s-h
0	s	556	h	s-h
0	s	435	h	s-h
0	s	401	h	s-h
0	s	419	h	s-h
0	s	490	h	s-h
0	s	410	h	s-h
59	s	557	h	s-h
59	s	362	h	s-h
59	s	558	h	s-h
59	s	445	h	s-h
59	s	377	h	s-h
59	s	447	h	s-h
56	s	414	h	s-h
56	s	361	h	s-h
56	s	559	h	s-h
56	s	433	h	s-h
56	s	529	h	s-h
56	s	399	h	s-h
56	s	560	h	s-h
56	s	400	h	s-h
56	s	448	h	s-h
56	s	513	h	s-h
56	s	402	h	s-h
56	s	420	h	s-h
56	s	408	h	s-h
56	s	454	h	s-h
51	s	414	h	s-h
51	s	361	h	s-h
51	s	525	h	s-h
51	s	559	h	s-h
51	s	433	h	s-h
51	s	456	h	s-h
51	s	529	h	s-h
51	s	399	h	s-h
51	s	560	h	s-h
51	s	400	h	s-h
51	s	448	h	s-h
51	s	513	h	s-h
51	s	443	h	s-h
51	s	402	h	s-h
51	s	408	h	s-h
51	s	454	h	s-h
65	s	427	h	s-h
65	s	561	h	s-h
65	s	426	h	s-h
13	s	427	h	s-h
13	s	561	h	s-h
13	s	426	h	s-h
1	s	427	h	s-h
1	s	561	h	s-h
1	s	426	h	s-h
359	s	562	h	s-h
359	s	511	h	s-h
359	s	428	h	s-h
359	s	563	h	s-h
359	s	564	h	s-h
359	s	421	h	s-h
66	s	562	h	s-h
66	s	511	h	s-h
66	s	376	h	s-h
66	s	510	h	s-h
66	s	428	h	s-h
66	s	563	h	s-h
66	s	564	h	s-h
66	s	421	h	s-h
66	s	447	h	s-h
0	s	565	h	s-h
67	s	376	h	s-h
67	s	427	h	s-h
67	s	451	h	s-h
67	s	472	h	s-h
67	s	480	h	s-h
67	s	471	h	s-h
67	s	454	h	s-h
67	s	377	h	s-h
68	s	371	h	s-h
68	s	411	h	s-h
68	s	375	h	s-h
68	s	478	h	s-h
68	s	398	h	s-h
68	s	436	h	s-h
68	s	390	h	s-h
68	s	431	h	s-h
69	s	484	h	s-h
69	s	504	h	s-h
69	s	566	h	s-h
69	s	420	h	s-h
69	s	490	h	s-h
70	s	375	h	s-h
70	s	406	h	s-h
40	s	557	h	s-h
40	s	567	h	s-h
40	s	384	h	s-h
40	s	568	h	s-h
40	s	516	h	s-h
40	s	510	h	s-h
40	s	362	h	s-h
40	s	387	h	s-h
40	s	515	h	s-h
40	s	495	h	s-h
5	s	411	h	s-h
0	s	411	h	s-h
70	s	569	h	s-h
15	s	569	h	s-h
71	s	569	h	s-h
40	s	375	h	s-h
40	s	368	h	s-h
40	s	376	h	s-h
40	s	417	h	s-h
40	s	570	h	s-h
40	s	401	h	s-h
40	s	571	h	s-h
40	s	387	h	s-h
40	s	370	h	s-h
40	s	438	h	s-h
54	s	375	h	s-h
54	s	450	h	s-h
54	s	449	h	s-h
54	s	440	h	s-h
54	s	572	h	s-h
0	s	449	h	s-h
0	s	428	h	s-h
0	s	572	h	s-h
73	s	573	h	s-h
73	s	491	h	s-h
73	s	574	h	s-h
59	s	375	h	s-h
59	s	479	h	s-h
59	s	441	h	s-h
59	s	444	h	s-h
59	s	438	h	s-h
53	s	450	h	s-h
53	s	416	h	s-h
53	s	575	h	s-h
53	s	385	h	s-h
53	s	402	h	s-h
53	s	454	h	s-h
53	s	397	h	s-h
53	s	410	h	s-h
53	s	406	h	s-h
74	s	360	h	s-h
74	s	521	h	s-h
74	s	375	h	s-h
74	s	502	h	s-h
74	s	461	h	s-h
74	s	449	h	s-h
74	s	445	h	s-h
74	s	397	h	s-h
54	s	360	h	s-h
54	s	521	h	s-h
54	s	502	h	s-h
54	s	461	h	s-h
54	s	445	h	s-h
54	s	397	h	s-h
47	s	360	h	s-h
47	s	521	h	s-h
47	s	502	h	s-h
47	s	461	h	s-h
47	s	449	h	s-h
47	s	445	h	s-h
6	s	360	h	s-h
6	s	521	h	s-h
6	s	502	h	s-h
6	s	461	h	s-h
6	s	449	h	s-h
6	s	445	h	s-h
75	s	360	h	s-h
75	s	521	h	s-h
75	s	375	h	s-h
75	s	502	h	s-h
75	s	461	h	s-h
75	s	449	h	s-h
75	s	445	h	s-h
75	s	397	h	s-h
10	s	360	h	s-h
10	s	521	h	s-h
10	s	502	h	s-h
10	s	461	h	s-h
10	s	449	h	s-h
10	s	445	h	s-h
10	s	397	h	s-h
48	s	521	h	s-h
48	s	502	h	s-h
48	s	449	h	s-h
48	s	445	h	s-h
48	s	397	h	s-h
76	s	360	h	s-h
76	s	521	h	s-h
76	s	375	h	s-h
76	s	502	h	s-h
76	s	461	h	s-h
76	s	449	h	s-h
76	s	445	h	s-h
76	s	397	h	s-h
77	s	360	h	s-h
77	s	521	h	s-h
77	s	375	h	s-h
77	s	502	h	s-h
77	s	461	h	s-h
77	s	449	h	s-h
77	s	445	h	s-h
77	s	397	h	s-h
0	s	521	h	s-h
0	s	502	h	s-h
0	s	461	h	s-h
67	s	476	h	s-h
67	s	433	h	s-h
67	s	478	h	s-h
67	s	479	h	s-h
67	s	576	h	s-h
67	s	399	h	s-h
67	s	546	h	s-h
67	s	387	h	s-h
67	s	443	h	s-h
67	s	408	h	s-h
67	s	367	h	s-h
67	s	397	h	s-h
67	s	438	h	s-h
6	s	476	h	s-h
6	s	433	h	s-h
6	s	478	h	s-h
6	s	479	h	s-h
6	s	576	h	s-h
6	s	399	h	s-h
6	s	480	h	s-h
6	s	546	h	s-h
6	s	387	h	s-h
6	s	443	h	s-h
6	s	408	h	s-h
6	s	471	h	s-h
6	s	367	h	s-h
6	s	438	h	s-h
10	s	476	h	s-h
10	s	433	h	s-h
10	s	478	h	s-h
10	s	479	h	s-h
10	s	576	h	s-h
10	s	376	h	s-h
10	s	399	h	s-h
10	s	480	h	s-h
10	s	546	h	s-h
10	s	443	h	s-h
10	s	408	h	s-h
10	s	471	h	s-h
10	s	438	h	s-h
78	s	396	h	s-h
49	s	360	h	s-h
79	s	577	h	s-h
79	s	578	h	s-h
79	s	387	h	s-h
79	s	390	h	s-h
79	s	495	h	s-h
80	s	577	h	s-h
80	s	578	h	s-h
80	s	387	h	s-h
80	s	390	h	s-h
80	s	495	h	s-h
3	s	579	h	s-h
3	s	461	h	s-h
3	s	449	h	s-h
23	s	579	h	s-h
23	s	368	h	s-h
23	s	461	h	s-h
23	s	449	h	s-h
16	s	579	h	s-h
16	s	461	h	s-h
16	s	449	h	s-h
359	s	579	h	s-h
359	s	461	h	s-h
359	s	449	h	s-h
4	s	579	h	s-h
4	s	461	h	s-h
13	s	562	h	s-h
13	s	476	h	s-h
13	s	580	h	s-h
13	s	557	h	s-h
13	s	522	h	s-h
13	s	567	h	s-h
13	s	368	h	s-h
13	s	429	h	s-h
13	s	516	h	s-h
13	s	510	h	s-h
13	s	480	h	s-h
13	s	551	h	s-h
